final_review_id,manual_keep,manual_label,severity_level,manual_notes,review_status,strict_score,strict_signal_count,strict_signals,review_text,airline_name,recommended,over_all_rating,route,review_date,date_flown,trip_verified,source_dataset,source_note,candidate_rank,recommended_action,manual_reason,exclusion_hints,review_header,type_of_traveller,seat_type
REAL-VA-001,yes,violent_aggressive,high,"explicit threat in airline/security/staff context; police/security conflict, intervention, detention, removal, or threat context; staff/passenger aggressive, abusive, harassing, humiliating, racist, or discriminatory conduct",assistant_manual_check_completed,19,5,direct_threat; aggressive_abusive; harassment_discrimination; police_security_conflict; staff_passenger_conflict,"At the airport for my flight from LA to Boston,at Los Angeles LAX JetBlue domestic check-in gate, I was denied boarding because the check-in agent made the unilateral decision that my service animal, Skylar, was not allowed on board, despite repeated attempts to show her the appropriate documentation in my possession as well as explaining our history together. Her questions and attitude towards me and my experience at the check-in were curt and dismissive to me as a person and insensitive to my condition. I imagine her frustrated attitude was due to the fact that there was a lot of confusion and chaos in the boarding area which added to everyone's discomfort. Additionally, her questions were not in line with the code of federal regulations when she demanded repeatedly for a detailed answer of what service animal I had and wanting for me to say something to justify my disability and need for her. When she considered my answers incomplete, she orally aggressively told me to get out of the line, when all I did was calmly explain my situation, and threatened repeatedly to call the police on me if I did not comply to her demands. The agent then escalated the interaction by saying I was ""no longer a JetBlue customer"" and calling her colleague (I asked to speak to her supervisor which she refused for over an hour, and only another employee came 1 whole hour later) with a member of LAPD police despite my reasonable answers in the face of her intimidating tactics. When I realized that the CRO was not there to arbitrate, rather support only the agent and not me as a customer, I had no recourse but to fly a different airline. American Airlines check-in counter was in the same area as the JetBlue check-in. The American Airlines agents accepted me as a customer when I produced my service animal documents without further questioning. When I followed up with Jetblue customer service, their agent inaccurately described the events and offered a) absolutely no compensation for what had happened, when all I asked for simply just the cash refund for the flight they refused to let me on, b) they have me stuck with flight credits that I cannot and refuse to use, c) admitted they did nothing wrong or illegal. When it comes to airline travel, I would like to know that those who are tasked with providing a pleasant experience from gate to gate are reasonable employees with proper training instead of discriminatory judgement, especially against a young woman of color with a disability service dog. Failing that, I would expect a reputable company to make right any failings in that experience. The agents are examples of how Jetblue and its employees are callous, rude, and misuse the power and responsibility they have. Travelers, especially those requiring accommodations, should look to another airline as Jetblue does not have any interest in customer safety or satisfaction.",jetblue-airways,no,1.0,los_angeles_to_boston,2022-09-15,august_2022,Trip Verified,Mendeley/Skytrax Airline Review Data.xlsx,"Manually checked from strict 390-candidate extraction from the 64,740-row Skytrax airline review dataset.",1,priority_review_likely_violent_aggressive,"direct threat/threatening language; aggressive or abusive language; harassment, humiliation, racism, or discrimination language; police/security conflict or intervention context; staff/passenger conflict with aggression/abuse context",,"""extremely traumatizing experience""",solo_leisure,economy_class
REAL-VA-002,yes,violent_aggressive,high,"explicit threat in airline/security/staff context; reported physical confrontation or violence-related act; staff/passenger aggressive, abusive, harassing, humiliating, racist, or discriminatory conduct; yelling/screaming/shouting in staff/passenger conflict",assistant_manual_check_completed,17,4,direct_threat; aggressive_abusive; physical_violence; staff_passenger_conflict,"One of the female Delta staff members began by yelling at everyone impatiently on the intercom repeatedly. She was angry, and was not able to maintain any semblance of professionalism. She specifically picked me out of the line while waiting to board, and separated me from my friend I was traveling with. She proceeded to allow my friend to board and then when I stepped up behind her to board, this person screamed at me to get back in line and she refused to allow me to board. I waited in disbelief and then she sent me to the other agent who asked me what was going on, I said I didn't know but she won't let me board, at this time the agent yelled across the entire crowd, ""Stop causing drama lady!"" Instead of the agent scanning and letting me board she sent me back to the agent who refused to board me and threw me out of the line. I stood there observing her yelling at other customers, trying to separate kids from their families, another customer experiencing exactly what they just did to me but she was screaming. At this point my friend stared videoing the agents with her cell phone of all the bullying going on, the agent saw her and stomped over and forced her around the corner out of anyones view in the boarding cart and it was at this time that the agent grabbed my friends phone from her hand and erased all her video footage. She proceeded to yell at, tower over my friend, and repeatedly threaten her that we are not getting on the plane. My friend repeatedly told her that she was terrifying her! It continued and the agent came back to me and the threats continued that ""they"" are reviewing the video to determine if ""they"" are going to let me board. She then proceeded to gaslight me saying she wasn't the one not letting me board and that I may be not able to board. Why? I have no idea. After the entire plane was boarded, I was finally scanned and let on, the last to board, my friend was shaking and totally traumatized from the assault and abuse. After I got home I wrote a detailed complaint, letters to the board members in administration and received Zero response from anyone but they stated that they did an investigation and nothing happened, no one remembers me, they lied and said there was nothing on the video (which was over 30 minutes of dozens of incidences of abuses towards customers), refused to accept any responsibility. Delta absolutely covered up this ordeal with an entire gate being traumatized and abused by 2 of their employees and then my friend assaulted with her phone being grabbed from her hand and her videos being deleted.",delta-air-lines,no,1.0,atlanta_to_bogota,2024-09-22,june_2024,Trip Verified,Mendeley/Skytrax Airline Review Data.xlsx,"Manually checked from strict 390-candidate extraction from the 64,740-row Skytrax airline review dataset.",2,priority_review_likely_violent_aggressive,direct threat/threatening language; aggressive or abusive language; physical violence or assault/fight language; staff/passenger conflict with aggression/abuse context,,"""covered up this ordeal2",solo_leisure,economy_class
REAL-VA-003,yes,violent_aggressive,high,"explicit threat in airline/security/staff context; police/security conflict, intervention, detention, removal, or threat context; staff/passenger aggressive, abusive, harassing, humiliating, racist, or discriminatory conduct",assistant_manual_check_completed,16,4,direct_threat; aggressive_abusive; police_security_conflict; staff_passenger_conflict,"This airline will one day get its comeuppance for posing as a quality flag carrier (it has to be said, no expense is spared on its branding) while operating as a cheap and sleazy budget airline, thanks to the rationale of its greedy and cynical new management. I have Bronze status with BA Executive Club, have flown a dozen times over the past year (both in Business and in Economy) and am increasingly irritated with myself that I chose to collect points with this particular airline. I was caught up in the IT meltdown in May (flying from Rhodes to London), and I was one of the lucky ones (who doesn't remember those surreal news reports of passengers stranded all over the world for 4 days?). I had to purchase a new ticket on a charter flight from Rhodes airport when my flight was cancelled (along with hundreds of other BA flights in May); this (incidentally: ghastly TUI) replacement flight arrived so much later than the flight I booked that I lost my pre-paid hotel booking at the airport, which the airline refused to refund when I lodged a claim. The airline only refunded me for my cancelled flight and my new flight, along with EU compensation, after I sent a second email a month after my first claim, as they simply neglected to raise a cheque for me, according to the customer agent. Their customer service is beyond atrocious. I suspect they swear company oaths never to genuinely apologise for BA failings (all you get is ""bear with us, we're trying really hard""), lest actually saying sorry should incur legal liability. I am unfortunately due to fly with them again at the end of the month to Belfast, and after two calls to their contact center (based in India, with a poor connection and amateur communication overall) still do not know if my travel companion will be allowed to travel on a domestic flight as a Canadian citizen without a UK ID document. The customer agents I spoke to gave me contradictory answers, which, in turn, run contrary to the (almost non-existent) information provided on their website. On the flights I have booked which have actually taken place, I have by turns found myself stuck along with fellow passengers on the tarmac for an hour and a half in BDX when the plane lost its takeoff spot, having waited for delayed passengers (would they admit this was their fault? Nope, it was all air traffic control's fault!), been held on the tarmac in TLS for an hour whilst they sorted out luggage which had mistakenly been put on our plane, retrieved a used bottle of rancid baby milk from my Club seat (no apology from the flight attendant who seemed annoyed at having to handle it), sat in a seat totally encrusted in potato chips apparently used as confetti by a previous passenger and found myself wedged between totally drunken and abusive passengers in Club and a scolding flight attendant threatening to have them arrested on arrival. As I mentioned, I have been one of their luckier passengers.",british-airways,no,2.0,toulouse_to_london_heathrow,2017-08-17,august_2017,Verified Review,Mendeley/Skytrax Airline Review Data.xlsx,"Manually checked from strict 390-candidate extraction from the 64,740-row Skytrax airline review dataset.",3,priority_review_likely_violent_aggressive,direct threat/threatening language; aggressive or abusive language; police/security conflict or intervention context; staff/passenger conflict with aggression/abuse context,,"""cheap and sleazy budget airline""",couple_leisure,economy_class
REAL-VA-004,yes,violent_aggressive,high,"explicit threat in airline/security/staff context; police/security conflict, intervention, detention, removal, or threat context; yelling/screaming/shouting in staff/passenger conflict",assistant_manual_check_completed,16,4,direct_threat; aggressive_abusive; police_security_conflict; staff_passenger_conflict,"The Maui to Seattle flight was delayed by over 4 hours and we were not informed or notified in any manner. We had arrived from Honolulu and were waiting by the gate when we noticed the departure time change. I was traveling with my wife and 9 month old son and we did not expect this and didn't know what to do since this was our first time travelling with him. My wife went to inquire about the situation and was told by the manager/chief at the gate desk and they said ""there is nothing we can do"". She was worried because we did not have any baby food left or formula and it was frustrating. I went to speak to the same manager/chief and ask if we could get any assistance because we would have to sit in an airport with an infant for an additional 4 hours on top of the initial 2 hour of our flight. While I was talking to them they called security and threatened to get us thrown out of the airport because manager said she will not speak to us because ""we could not understand even is she tried to explain it"" I believe she was trying to imply we were incapable of understanding her and we need to move out of the way so she can help other customers. Shas just gotten another frustrated customer who was yelling and screaming at her and being hysterical but she gave her a completely different treatment and gave her another flight since she was from there and decided to flight out another time. We stood back and record while the security arrived and started questioning us. This was so frightening for us. We didnt know what was going to happen to us. Were we going to get arrested? were they going to take out infant son from us? what were we going to do in a place that is foreign to us and we did not know anyone there so thats where we were recording for our own safety. We decided to wait it out because it felt like the more inquiries or help we requested it was met with aggression and complete disregard of our infant child. We swore never to travel there ever again because we have never felt so helpless and disregarded and treated so poorly compared to others.",hawaiian-airlines,no,1.0,honolulu_to_seattle_via_maui,2023-05-08,may_2023,Not Verified,Mendeley/Skytrax Airline Review Data.xlsx,"Manually checked from strict 390-candidate extraction from the 64,740-row Skytrax airline review dataset.",4,priority_review_likely_violent_aggressive,direct threat/threatening language; aggressive or abusive language; police/security conflict or intervention context; staff/passenger conflict with aggression/abuse context,,"""felt so helpless and disregarded""",family_leisure,economy_class
REAL-VA-005,yes,violent_aggressive,high,"explicit threat in airline/security/staff context; police/security conflict, intervention, detention, removal, or threat context",assistant_manual_check_completed,16,4,direct_threat; aggressive_abusive; police_security_conflict; staff_passenger_conflict,"As soon as I sat down I was helping my kids get their seat belts on. During the reaching around my masked slipped a bit down my nose. I was startled when a very young flight attendant very rudely and sharply said that my mask had to stay all the way to the top of my nose for the entire flight. It was not what she said but how she said it. My flight was 5 hours delayed and this was at 6 hour flight at 4 in the morning. Then she woke me up twice because my mask had slipped a little down while I was asleep. I walked to the bathroom and clearly saw 6 or more people with masks completely off. I felt targeted. My 10 year old asked me why that flight attendant seemed out to get me. I have traveled during Covid many times. I have never experienced such a rude, heartless, unsympathetic flight attendant. My family and I were doing the best we could. Second time she woke me up, she threatened to have police meet my family at the gate. This is a ridiculous abuse of authority from a power hungry child who should clearly not be in the service industry. I was nothing but kind saying I was sorry, I was sleeping and it slipped down a bit. She made me extremely uncomfortable the entire flight.",delta-air-lines,no,1.0,raleigh_to_seattle,2020-11-25,november_2020,Not Verified,Mendeley/Skytrax Airline Review Data.xlsx,"Manually checked from strict 390-candidate extraction from the 64,740-row Skytrax airline review dataset.",5,priority_review_likely_violent_aggressive,direct threat/threatening language; aggressive or abusive language; police/security conflict or intervention context; staff/passenger conflict with aggression/abuse context,,"""a ridiculous abuse of authority""",family_leisure,premium_economy
REAL-VA-006,yes,violent_aggressive,high,"explicit threat in airline/security/staff context; police/security conflict, intervention, detention, removal, or threat context; staff/passenger aggressive, abusive, harassing, humiliating, racist, or discriminatory conduct",assistant_manual_check_completed,16,4,direct_threat; aggressive_abusive; police_security_conflict; staff_passenger_conflict,"I had to end my vacation in the Caribbean to return to Canada for a family emergency. What was supposed to be an 9h trip turned into a four day nightmare that cost me upwards of $2800 USD in out of pocket expenses, in addition to the original ticket price. I was shocked to find some United employees incredibly lacking in empathy and extremely aggressive. On day three of the ordeal, a customer service rep at Newark took a cursory look at my booking, claimed I was rebooked on an air Canada flight and was “no longer a United passenger.” I told her, the booking was not complete and Air Canada had explained (after I had gone back and forth between the two long queues) that United had not actually booked me, it was more of a temporary hold. The United staff refused to even speak to me, even as I begged tears streaming down my face explaining I had a family emergency. A manager then aggressively threatened to call security if I didn’t step aside because I “had already used up 30 minutes of their time,” which she knew was a blatant lie. I then had to go back to Air Canada and then called United on the phone, all of which was useless. I finally booked myself on a new ticket, via the United app, travelled to another terminal (C) and waited for 8 hours only to have that trip cancelled as well. I was now approaching day 4 so feeling utterly defeated, I booked myself a business class ticket home from Newark with Air Canada. It cost me $2300 USD and was a red eye with a long layover in Quebec City, but that flight DID make it and I’m now home. I think United deserves to be sued for its failure to support and look after the wellbeing of its customers. Shame on them and on lawmakers who allow this level of negligence and disregard for passengers’ wellbeing (see reports of the atrocious conditions in some terminals especially Newark terminal C). I will never travel with United or through the US again for that matter.",united-airlines,no,1.0,nassau_to_montreal_via_newark,2023-06-29,june_2023,Trip Verified,Mendeley/Skytrax Airline Review Data.xlsx,"Manually checked from strict 390-candidate extraction from the 64,740-row Skytrax airline review dataset.",6,priority_review_likely_violent_aggressive,direct threat/threatening language; aggressive or abusive language; police/security conflict or intervention context; staff/passenger conflict with aggression/abuse context,,"""lacking in empathy and extremely aggressive""",solo_leisure,economy_class
REAL-VA-007,yes,violent_aggressive,high,reported physical confrontation or violence-related act,assistant_manual_check_completed,15,3,direct_threat; physical_violence; weapon_terror,"However a few minutes before call to board an announcement came over that that no food nor drink would be available on this flight, no explanation as to the reason. Fortunately I was in the business lounge so grabbed a can of coke and a couple of rolls but for others they would have no time to purchase anything even if they are happy to pay airport prices. This was a 4 hour flight by the way. I had no idea that BA are now charging for food and drink even for water (they kept that one quiet). I rarely travel with hold luggage so now have to pay extra for the luxury of choosing a half decent seat (they kept that one quiet as well when this policy was introduced last spring). How long before they start charging for airport check in or duplicate documents the same as Ryanair. Will they be selling lottery tickets next? Pay-as-you go toilet? British Airways still refer to themselves as ""the worlds favourite airline"". Based on who`s opinion exactly? See no point in using BA now. They usually come out as one of the most expensive carriers when choosing a route. They have the most ignorant and unhelpful cabin staff out of any other carriers. I fly about 100 times annually through business and try and avoid BA. With this latest money grabbing scam I will change my scheduling to avoid them. There are plenty other quality carriers who like BA are struggling to maintain profits. All have the same threat of terrorism, fluctuating oil prices, adverse weather, air-traffic control strikes etc. but they are not punishing the very people who keep their planes in the air.",british-airways,no,1.0,ath_to_lhr,2017-01-16,january_2017,Verified Review,Mendeley/Skytrax Airline Review Data.xlsx,"Manually checked from strict 390-candidate extraction from the 64,740-row Skytrax airline review dataset.",7,priority_review_likely_violent_aggressive,direct threat/threatening language; physical violence or assault/fight language; weapon/terrorism-related term,,"""see no point in using BA now""",business,economy_class
REAL-VA-008,yes,violent_aggressive,high,"police/security conflict, intervention, detention, removal, or threat context; staff/passenger aggressive, abusive, harassing, humiliating, racist, or discriminatory conduct",assistant_manual_check_completed,14,4,aggressive_abusive; harassment_discrimination; police_security_conflict; staff_passenger_conflict,"While I understand the crew has a specific amount of sleep assigned, that policy is not passed down to their patrons. I missed my connecting flight to Eugene Oregon because of the crew’s right to sleep, causing a 13 hour delay because there was not another flight until midnight. The parties that were to pick me up had to make the 2 hour drive from Seal Rock 2x that day. Returning, I arrived at the Eugene airport at 6:30 pm on 10/10/23 because My son and his wife had to work and could not provide transportation on 10/11/23 when my flight was scheduled. I tried to sleep but was told to move to the lobby. This caused me to go through TSA 2x. The automated announcement railed every few minutes incessantly about unattended baggage. The floor was cleaned for what felt like hours. No sleep may have been to be expected. My ticket listed Gate F, which does not exist. The telemonitor said Gate A4. Loading started at 12:59. I got concerned about 1:00 because I heard nothing. The flight was at Gate B1. I got there by 1:06 and was told that I had to reschedule. I arrived in Seattle at approximately 6, tired and unrested. I went to one of the restaurants for dinner. From 6:30-10:30 while waiting on the flight to Orlando, I ate and drank 4 glasses of wine. I still have gotten any sleep. My flight did not leave until 10:20 pm. I arrived, was allowed on, and sat down glad to have an opportunity to sleep. That would not happen. The FA said to come with her. I complied. The staff at the desk told me that I stumbled therefore I could not get on the plane. I hadn't been belligerent, aggressive, or bothered anyone. I argued with him for a moment. He had already called the police. I left the vicinity. The staff said my ticket would be refunded in 5-7 business days. I had only $130 and other tickets were running at min $400. I sat in the Seattle Airport all night because nothing was open and I did not know what to do. Staff saw me again Thurs. am, again with no sleep, and again called the cops on me, assumingly because he decided that I was not to be on the premises. I answered to the police that I had had a ticket, that I had a right to be there, and I would appreciate them not bothering me. I called Customer Service. No assistance. I went to the Alaskan CS Desk and spoke with Anthony. He was very helpful. Derrick, his Supervisor, very professional, said that he could not override the decision to allow me to fly with Alaska Airlines due to what that staff wrote in his report - I had harassed staff & become aggressive with the police, which is clearly not true if you review the camera footage I asked where I should stay and Derrick told me anywhere it did not interfere with their employment. Of which I agreed, stating that I had not done that previously. I told Derrick that he needed to tell his employee to stop calling the police on me. Due only to borrowing money from my 82 year old mother, I finally arrived at MCO airport at 10:30 am Fri am . I went to get my baggage CS They were locked. I called Alaska Airline CS again and was told that I would have to wait until 2:30 pm. At 2:45 pm there was still no employee there.",alaska-airlines,no,1.0,seattle_to_orlando_via_eugene,2023-10-17,october_2023,Trip Verified,Mendeley/Skytrax Airline Review Data.xlsx,"Manually checked from strict 390-candidate extraction from the 64,740-row Skytrax airline review dataset.",8,priority_review_likely_violent_aggressive,"aggressive or abusive language; harassment, humiliation, racism, or discrimination language; police/security conflict or intervention context; staff/passenger conflict with aggression/abuse context",,"""I could not get on the plane""",solo_leisure,economy_class
REAL-VA-009,yes,violent_aggressive,high,"explicit threat in airline/security/staff context; police/security conflict, intervention, detention, removal, or threat context",assistant_manual_check_completed,14,3,direct_threat; physical_violence; staff_passenger_conflict,"There were problems even before we boarded. We were supposed to board at 7:15p.m. but the plane hadn't even arrived at the gate. Communication between Virgin Australia and customers were laughable. We were not told of any delays until we were told it was time to board. It seems that to prevent negative advertising, the company did not use Sydney airport's PA system for fear of other travellers hearing and instead told us the delay on the aircraft. What is the use of mentioning a delayed boarding after the passengers have already boarded? As if the delay wasn't enough, the flight attendants were frustrated throughout the journey. They pushed the drink trolley around so fast that I did not have time to even flag them down for a cup of water! When we landed, the flight attendant on the microphone told us in a threatening manner that as customs shuts down their computers at 3am, we would need to hurry as we only had 25 minutes to disembark, go through border security and leave the airport. The way she was speaking, it was as if it was our fault the flight was delayed in the first place. My first flight with Virgin Australia was a bad one and I will not fly them again - unless their tickets are as cheap as this flight.",virgin-australia,no,4.0,syd_to_chc,2016-10-16,september_2016,Verified Review,Mendeley/Skytrax Airline Review Data.xlsx,"Manually checked from strict 390-candidate extraction from the 64,740-row Skytrax airline review dataset.",9,priority_review_likely_violent_aggressive,direct threat/threatening language; physical violence or assault/fight language; staff/passenger conflict with aggression/abuse context,,"""I will not fly them again""",family_leisure,economy_class
REAL-VA-010,yes,violent_aggressive,high,explicit threat in airline/security/staff context; reported physical confrontation or violence-related act,assistant_manual_check_completed,14,3,direct_threat; physical_violence; staff_passenger_conflict,"Last minute trip booked for a family of 4 (2 adults, 2 children, 6 yrs and 2 yrs). Was originally scheduled to fly back to MEL from HK but had to double back to Shanghai and Cathay did not have any available flights to MEL til 12/1/19. Had to settle with China Eastern Airlines as they flew direct to MEL. MU739 was due to depart SH at 12:20am on 5th Jan. By the time we reached the gate, we had already been awake for 22 hours (funeral was on the morning of 4th Jan). Was advised by ground staff at gate to bring stroller onto bus and give to ground staff on tarmac to ensure it is taken on board. There was no airline employee on tarmac when the bus arrived next to the plane, either to control foot traffic or to receive my stroller. Most passengers crowded onto the staircase leading to the entrance of the plane, the bitter cold and wet weather did not help matters. China Eastern Airlines has a policy of re-scanning boarding passes right before boarding the plane (to avoid abscondees?) which they decided to carry out half way up the covered staircase, in turn creating a bottleneck situation with more than half of the bus passengers left on the tarmac exposed to the cold and rain. I had no choice but to carry the folded stroller, along with carry-on luggage and trying to hold on to my 6 yr old daughter, up the slippery and over-crowded staircase. She slipped and fell 3 times along the way. While I was complaining to a flight attendant, the Cabin Manager intervened and accused me of being disrespectful and threatened to throw me off the flight. The cabin manager took all of my criticisms of the airline's practices as personal attack and insisted that I was insulting him. I attempted to de-escalate the situation by going to my seat but he blocked the passage way and shoved me when I tried to go past him. I did not make any further contact with him after I found my seats. 15 minutes later, ground security approached me, to ask me to leave the flight. I tried to appeal to the Captain of the plane but was told that my emotional state posed a safety concern for the rest of the passengers and that an apology to the cabin manager could have rectified the situation but it was too late. My request for an interpreter was denied; we were given 1 minute to decide whether I leave on my own or together as a family; airline staff promised there would be assistance available back at the departure gate. However, we discovered there was no one to assist us, apart from two lowly ranked employees who brought our checked-in luggage. We ended up being stranded at Shanghai airport for 20 hours until the next available CE flight as the airline refused to refund me the airfare or transfer us to a different airline. I spoke to no fewer than a dozen CE staff at the airport and on the customer service helpline, no one acknowledged the desperate situation we were in. As this was a last minute trip to attend a funeral service, we did not carry much Chinese currency on us (Currency exchange was also closed), local sim card to make phone calls for external assistance. Since this incident, I have followed up on average twice a day with CE. To date, all I have received are broken promises (to call within x hours) and hand-balling of my complaint.",china-eastern-airlines,no,1.0,shanghai_to_melbourne,2019-01-18,january_2019,Trip Verified,Mendeley/Skytrax Airline Review Data.xlsx,"Manually checked from strict 390-candidate extraction from the 64,740-row Skytrax airline review dataset.",10,priority_review_likely_violent_aggressive,direct threat/threatening language; physical violence or assault/fight language; staff/passenger conflict with aggression/abuse context,,"""ask me to leave the flight""",family_leisure,economy_class
